word	tag1	tag2	tag3	old2	pattern	tf	notes
nietolerancja				.	nietoler		# 36
nietrzezwy				.	nietrze[źz]		# 17
nietykalny				.	nietykal		# 71
nieuczciwy				.	nieuczc		# 48
nieudacznik				i	\bnieudaczni\w+		# 203
nieudacznik				i	nieudacz		# 212
nieudacznik				i	nieudan		# 158
nieudolny				.	nieudol		# 119
nieufny				.	nieufn		# 183
nieuk				i	nie(do|)u[kc]		# 264
nieuprawniony				.	nieupraw		# 12
nieurodzaj				.	nieurodz		# 37
nieuzasadniony				.	nieuzasa		# 107
niewazny				.	niewa[żz]n		# 599
niewdzieczny				.	niewdzi		# 57
niewesoly				.	nieweso[łl]		# 7
niewiele				.	niewiele		# 815
niewierny				.	niewiern		# 46
niewolnik				.	niewolni		# 166
niewybredny				.	niewybred		# 2
niewygodny				.	niewygod		# 232
niewyjasniony				.	niewyja		# 104
niewykonalny				.	niewykonal		# 35
niewypal				.	niewypa[lł]		# 66
niewystarczajacy				.	niewystar		# 40
niezadowolony				.	niezadowol		# 150
niezdolny				.	niezdoln		# 319
niezdrowy	o			o	niezdrow		# 105
niezgodny				.	niezgodn		# 193
nieznajomy				.	nieznajom		# 80
niezrownowazony				i	niezr[óo]wno		# 30
niezrozumialy				.	niezrozu		# 200
niezyciowy				.	nie[żz]yci		# 2
niezywy	s			s	nie[żz]yw		# 22
nijaki				.	nijak\w		# 92
nikczemny				i	nikcz		# 60
niski				.	\bnisk\w+		# 802 niskoemisyjny
niszczyc	a			a	niszcz\w*		# 3281
niewykorzystany				.	niewykorz		# 87
niewygodny				.	niewygod		# 232
nkwd	h			h	nkwd		# 494
nosz				.	\bnosz\b		# 153
nowobogactwo				?	nowobogac		# 9
nowomoda				.	nowomod		# 10
nowotwor	o			o	nowotw		# 204
nuklearny	p			p	nuklear		# 345
obalic				.	\bobali		# 73
obawa				.	\bobaw		# 1305
obelga				.	obel[gżz]\w*		# 99
oblakany				i	ob[łl][ąa]kan		# 40
oblawa	a			a	ob[łl]aw		# 41
obled				.	ob[łl][ęd]d		# 148
oblesny	o			o	oble[sś]\w*		# 87 oblech
obrazac				.	obraż[aoe]		# 2886
obskurny	o			o	obskur		# 5
obwisly				.	obwi[śs]		# 5
ochyda	o			o	ochyd\w+		# 129
oczerniac				.	oczern		# 95
odbyt	o			o	odby(t|ci)\w*		# 139 odbycia
odpad*	o			o	odpad		# 980
odraza	o			o	\bodra[zż]		# 180
odszkodowanie				.	odszkod		# 1016
odwet	a			a	odwet		# 108
odwolac				.	odwo[łl][aye]		# 1715
odwyk				.	odwyk		# 42
ofiara	a			a?	ofiar		# 3267
ograniczac				.	ogranicz		# 2550
ohyda	o			o	o[c]?hyd\w+		# 163
okropny	o			o	okropn		# 2920
okrutny	a			a	okru[ct]		# 556
okupowac				.	\bokup[oa]		# 884
opium				.	opium		# 51
oponen	p			p	op+on+ent		# 15
opozniony				.	(o|za)p[óo][źz]nion\w		# 75
oprawca	a			a	oprawc		# 158
oprych				i	opry(ch|szk)\w*		# 4
ordynardny				.	ordynar\w*		# 154
osiol	z			z	osio[łl]|osł[aeo]\w*		# TODO 
oslizgly	o			o	o[śs]liz[g]?[łl]y		# 27
ostry				.	ostr[yoe]\b		# 2122
ostrzezenie				.	\bostrze[gżz]		# 633
oszolom				i	oszo[łl]om\w*		# 146
oszust				i	\boszu(st|k)\w*		# 2417
owdowiec	s			s	owdowi		# 0
pacjent				.	pacjen		# 429
pacyfikowac	a			a	pacyfik[aou]\w		# 263
padalec	z			z	padal[e]?c		# 209 padalecki
padlina	o			o	padlin		# 36
pajac				i	pajac\w*		# 919
palant				i	palant		# 22
palic				.	pal(i[ćcłl]|on|[ąa]c)		# 3437
panika				.	pani(k|czn)		# 1183
papuga	z			z	papug		# 63
paranoja				.	paranoi		# 45
parobek				?	par[óo]b		# 26
parowka				.	par[óo]w		# 230
parszywy	o			o	parszyw		# 86
paser				i	paser 		# 14
pasiak	h			h	pasiak		# 28
pasożyt	z			?	paso[żz]y		# 96
paszkwil				.	paszkw		# 45
pasztet				i	paszte[tc]		# 81 kulinarne:pasztet
patalach				i	pata[łl]a		# 24
patologia				?	patol\w*		# 1573
pawian	z			z	pawian		# 3
pazerny				i	pazern\w+		# 155
pedal	x		d3	x	peda[lł]		# 858
pederasta	x			x	peder\w+		# 85
pedofil	x			x	pedofil		# 334
penis	x			x	penis\w*		# 107
perfidny				i	perfid		# 153
persona				i	person(a|y|ie|om)\b		# 107
perwers	x			x	perwer\w*		# 163
picz	x			x	picz		# 197
pieklo				.	(\b|[^u])piek(ie)?[łl]		# 682
pieprzyc				?	piepr\w+		# 3183
pionek				i	\bpion[e]?k		# 26
pipidowo				.	pipid		# 7
pirat				i	\b(anty|)pira[ct]		# 198
pisdu				.	pisd[auoy]\w*		# 224
pislam	p		d?	h	pislam\w*		# 56
pisuar	o			o	pisuar\w*		# 42
pizda	x		w3	x	pi[zź]d\w+		# 1446
placz				.	p[łl]a(cz|ka[^t])		# 10818
plaga	o			o	plag(?!ia)		# 117
plagiat				.	plagia		# 94
plebs	p		d?	h	pleb[s]\w*		# 62-plebe
plebejusz	p			h	pleb[e]\w*		# 62-plebs
plesn	o			o	ple[śs][nń]		# 36 pleśnierowicz
pluc	o			o	(\b|o|wy)plu[ćctwłlj]		# 887
plugawy	o			o	plugaw		# 27
pluskwa	z			z	pluskw\w*		# 14 FP
pochwa	x			x	pochw(a|y|om|[eę])\b		# 25
podczlowiek			d?	h	pod(cz[łl]ow|lud)\w+		# 56
podstep	a			a	podst[ęe]p		# 385
podzegacz				i	pod[żz]eg		# 19
podły				i	pod[łl][ay]\w+		# 174
pogarda				.	\b(pogard|wzgard|gardz)		# 1460
pogrom	a			?	pogrom		# 342
pogrzeb	s			s	pogrzeb		# 1369
pogrzeb	s			s	pogrzeb		# 1369 FP
pokonac	a			a	pokon[ay]		# 628
pokurcz				i	pokurcz		# 42
pokuta				.	pokut		# 64
polglowek				i	p[óo][łl]g[łl][óo]		# 12
poligamia	x			x	poligam		# 32
pomagier				i	pomagier		# 5
pomowienie				.	pom[óo]wi		# 97
pomylic				.	pomyl[ioe]		# 525
pomylka				.	pomy[łl]k		# 214
ponury				i	ponur		# 170
popelnic				.	\bpope[łl]		# 1692
popiol				.	popi[óo][łl]		# 34
populizm	p			p	populi[sz]		# 466
porazka				.	pora[zż][e]?k		# 1068
poronic	s			s	poroni		# 22 poronin
posepny				i	pos[ęe]p		# 16
potepiac				.	pot[ęe]p		# 342
potknac				.	potkn		# 595
potwor				.	potw[óo]r		# 452 potwornie
pozar				.	po[żz]ar(\b|[^tlł])		# 503
pozegnac				.	po[żz]egna		# 728 żegnać
prawak	p		d?	p	prawa[kc]\w*		#
precz				.	precz		# 1033
pregierz				.	pr[ęe]gierz		# 10
presja	a			a?	presj		# 975
prl	h			h	peerel|\bprl		# 1345
problem				.	problem		# 11258
prochno				.	pr[óo]chn(?!ik)		# 22
profanowac				.	profan[aou]		# 81
prokurator	p			p	prokurat		# 4768
propaganda	p			p	propagand\w*		# 2171
prostak				i	\bprosta\w+		# 388
prostytucja	x			x	prostytu		# 117
protest	p			p?	prote[śs]		# 10381
prowizorka				.	prowizor		# 30
prowokacja	p			p?	prowok		# 831
prymityw				i	prymityw\w*		# 485
pryszcz	o			o	pryszcz\w*		# 291
przeciwnik	a			a?	przeciwni[kc]		# 451
przegapic				.	(prze|za|z)gapi[ćcłl]		# 216
przeginac				.	przegi		# 212
przegrac	a			a?	przegr[ay]		# 3737
przeholowac				.	prze[c]?hol		# 1
przeklestwa				.	przekl([i]?n|[ęe][ńn])		# 553
przemoc	a			a	przemoc		# 939
przepasc				.	przepa[śs][ćc]		# 220
przerazenie				.	\bprzera[zż]		# 1333
przestepca				.	przest[ęe]p[^oni]		# 1732
przeszkoda				.	przeszk[óoa]d		# 1939
przygnebiony				.	przygn[ęe]b		# 52
przykrosc				.	przykro[śs][ćc]		# 52
przykry				.	przykr(y|ym|ych|ymi|o|e|ego)\b		# 2523
przymus				.	przymus		# 392
przypal				.	przypa[lł]		# 228
pseudo				.	\bpseudo(?!ni)		# 733
psychol				i	psych\w+		# 3951 psycholog psychika
pucz	p			p	pucz		# 172
pudlo				.	[s]?pud[łl][ao]		# 610
pulapka	a			a?	pu[łl]apk		# 107
pustka				.	\bpustk		# 893
puszczalski	x			x	puszczals\w+		# 7
pysk				.	pysk\w*		# 758 FP
pyskowac	a			a	pysk(at|[oó]w|uj)		# 60
rabowac	a			a	rabowa\w+		# 88
rabunek	a			a	rabun[e]?k\w*		# 105
radykal	p			p?	radyka[łl]		# 332
rakotworczy	o			o	rakotw		# 0
ranic				.	(\b|z)rani[ćcłlo]		# 1058
ranny				.	\brann		# 157 FP
rdza				.	(\b|za|prze|od)rdz		# 119 TODO rdzen rdzenny
rebelia	p			p	rebeli		# 50
redukcja				.	reduk		# 127
retard			d3	i	retard\w*		# 40
rezygnacja				.	rezygn		# 1058
robactwo	z			z	(\b|za|z)roba(k|ct|cz)		# 252
robak	z			z	roba(k|cz)		# 258
roszczenia	p			p	\broszcz[ye]		# 1342
rozczarowac				.	rozczarow\w+		# 721
rozdarty				.	rozdar		# 71
rozdzierac	a			a	rozdzier		# 2424
rozgardiasz				.	rozgardiasz		# 11
rozjechac	a			a	rozjech		# 95
rozpacz				.	rozpacz\w*		# 607
rozpadac				.	\brozpad		# 921
rozstroj				.	rozstr[oó]		# 0
rozwiazly	x			x	rozwi[ąa]z[łl]\w+		# 11
rozwod				.	rozw[óo]d		# 113
ruchac	x			x	rucha\w*		# 1572
ruina				.	ru[ij]n\w*		# 598 FP
rusek			d?	?	\brus(ek|cy|ki|ka|ko)		# 2192
ryczec				.	(?<!p)rycz[ęeaąy]		# 2312
ryj				.	\bryj\w*		# 3871
rzez	s			s	\brze[źz](\b|n|i)		# 191
rzygac	o		w1	o	rzyg\w*		# 9158 przygladac przygotowac
sabotowac	p			p	sabot		# 174
sadlo				.	\bsad[łl][oae]\w*		# 20 sadlok
sadysta	a			a	sady[sz]		# 41 sado maso
samobojca	s			s	samob[óo]j		# 698
samotny				.	samotn		# 648
sarkazm				.	sarka[sm]		# 61
sb	h			h	\bsb(\b|-)		# 7031 slang:siebie
schizofrenia				.	schiz		# 128
sciek	o			o	\b[śs]ciek(\b|[^a])		# 70
scierwo	s			s	[śs]cierw\w*		# 454
sekta				.	\bsek(t(?!or)|ci)		# 239 sektor sekciarski sekcja insekt
sep	z			z	sęp		# 40 posępny zasępić
separacja				.	separ		# 32
sidla				.	(?<!roman)sid[e]?[łl]		# 22 TODO
sierota				i	siero[tc]		# 412
sierp	h			h	sierp(\b|[^in])		# 51
siniak				?	siniak		# 1923
skandal				.	skandal		# 2339
skarzyc				.	skar[żzg]		# 2610
skazany				.	\bskaza[ćcnń]		# 800
skazywac				.	\bskaz(a[łl]|uj|yw)		# 96
skleroza				.	sklero[tz]		# 29
skostnialy				.	skostnia		# 9
skrajny				.	skrajn		# 389
skreslic				.	(s|prze)kre[śs]l		# 137
skrupuly				.	skrupu(?!la)		# 485
skunks	z			z	skunks		# 6
skurczybyk				i	kurczyb		# 12
slaby				.	s[lł]ab\w+		# 5978
slepy				.	[śs]lep\w+		# 607
slina	o			o	(\b|za|po|ob|wy)[śs]li[nń]		# 150
slumsy				.	\bsl[au]ms		# 15
smieci	o			o	[śs]mie[cć](|[^h]|[^h]\w+)\b		# 853
smierc	s			s	[śs]mier[ćct]		# 5727
smierdzi	o			o	[śs]mierd\w+		# 652
smietnik	o			o	[śs]mietni\w+		# 183
smrod	o			o	smr[óo]d\w*		# 201
smutek				.	smut\w+		# 7207
snob				i	snob		# 15
socjalizm	h			h	socjali		# 607
sodomia	x			x	sodom[ia]		# 16
spadac				.	\bspad		# 3099
spam				.	spam\w*		# 3074
spisek				.	spis[e]?k		# 628
spoliczkowac	a			a	spoliczko		# 3
sprawca				.	\bsprawc[^i]		# 333
sprzeciw				.	sprzeciw		# 333
sprzeczny				.	sprzecz		# 462
srac	o			o	sra[^cłlłnmj]\w+		# TODO 1444 -> sra
srom	x			x	srom\w*		# TODO 41
ssman	h			h	\b[e]?s[e]?sman\w*		# 5
stagnacja				.	stagn		# 18
stalin	h			h	stalin\w*		# 459
starcie	a			a	star(cia|[ćc]\b)		# 103
stechly	o			o	(s|za)t[ęe]ch		# 11
strach				.	stra(ch|sz)		# 7230
strajk	p			p	strajk\w*		# 371
strata				.	\b(u|s)tra[tc]		# 7577
strup	o			o	\bstrup		# 7
sucz	z			z	sucz[yoeęaą]?\b		# 27
suka	z			z	\bsuk(|i|ą|om|ami|in\w+)\b		# 308
swietokradztwo				.	[śs]wi[ęe]tokrad		# 15
swinia	z			z	[śs]wi[ńn]\w*		# 1808 -> swinoujscie
swir				i	[śs]wir\w+		# 505
swolocz	h			h	swo[łl]oc\w+		# 71
sybir	h			h	syb[ie]r		# 220
syf	o			o	syf\w*		# 683 TODO syfon klasyfikacja intensyfikacja
syfilis	o			o	syfili[sz]		# 6
syjonista				h	syjo(nis|[ńn]sk)		# 174
szajs	o			o	szajs\w+		# 163
szambo	o			o	szamb\w+		# 1292
szantaz	a			a	szanta[żz]		# 189
szatan				.	s[z]?atan		# 296
szczac	o			o	\b(|wy|ze|za|o|po)szcz(a\b|a[^w]|yn)		# 138 szczaw
szczuc	a			a	szczu[ćcjlł]\w+		# mieszczuch?
szczur	z			z	szczur\w*		# 2004 FP
szelma				i	szelm		# 0
szkalowac				.	szkal		# 444
szkielet				.	szkielet		# 33
szkodnik	z			z	szkodni		# 273
szkody				.	\bszk[óo]d		# 7112
szmalcownik	h			h	szmalcow\w+		# 116
szmata				i	szma[ct]\w*		# 2139
szmira				.	\bszmir		# 14
szok				.	szok		# 3038
szowinizm				.	szowini		# 118
szpetny				i	szpet		# 15
szpieg	p			p	szpieg		# 206
sztuczny				.	sztuczn		# 353
szubienica	s			s	szubien		# 256
szuja				i	\bszuj\w*		# 78
szumowina	o			o	szumowin\w*		# 50
szwab			d?	?	szwab\w*		# 339
szydzic	a			a	szydz\w+		# 213
szykany	a			a	szykan		# 288
szympans	z			z	szympans		# 13
tandeta				.	tandet\w+		# 53
targowica	h			h	targowic		# 294
tchorz	z			z	tch[óo]rz\w*		# 1303
tendencyjny				.	tendencyj		# 116
tepy				.	t[ęe]p[yaei]		# 2133
terror	a			a	terror\w*		# 1010
tluk				i	\bt[łl]uk(?!li)		# 411
tlumok				i	t[łl]umok		# 20
tlusty				.	t[łl]u[śs]		# 361
toksyczny	o			o	toksy		# 166
tortury	a			a	tortur		# 292
totalitarny	p			p	totali		# 90
totalny				.	totaln		# 3351 totalnie
tragiczny				.	tragi[cz]		# 787
trauma				.	traum		# 258
troglodyta				i	troglod		# 9
troll				i	\w*trol\w*		# 3384 TODO kontrola patrol controll
truc	a			a	tru(ci[zce]|[łlt][ayoi])		# TODO 157 truly(ANG) trucizna vs truc
truchlo	s			s	truch[lł]		# 33
trudno				.	\btrudn[oiay]		# 3151
trumna	s			s	trum(ie)?n		# 247
trup	s			s	\btrup		# 335
tuman				i	\btuman		# 63
tupet				.	\btupe[tc]		# 73
tylek	x			x	ty[łl](ek|ka|ecz)\w*		# 1534
tyran	p			p	tyra[nń]		# 57 TODO tyranie tyraniu
ub	h			h	\bub(\b|-)		# 1003 uber ublizac
ubek	h			h	\bube[ck]\w*		# 241
ublizac				.	ubli[żz]\w+		# 111
uderzenie	a			a	[uz]derz		# 2903
ujma				.	\bujm[ay]		# 8
ulom				.	u[łl]om\w+		# 97
umarly	s			s	umar[łl]		# 1191
umierac	s			s	umier		# 2536
unicestwic	a			a	unicest		# 23
upadac				.	\bupad		# 1480
upokorzenie				.	upokorz		# 584
uraz				.	\b(|po)uraz		# 227
urojenia				.	\buro[ji]		# 151
ustawka				.	ustawk		# 2331
utytlany				.	\w*tyt[łl]a\w*		# 2
uzurpator				?	uzurp\w+		# 25
wulgarny				.	wulgar		# 517
wampir				i	wampir		# 674
warchol				i	warcho\w+		# 46
wariat				i	wari(a[ct]|owa)\w*		# 614
wariat				i	wari(at|ow|uj)		# 628
wazelina	x			x	wazelin		# 111
wazniak				i	wa[żz]nia		# 211
weto	p			p	(\b|za|po)[wv]eto		# 641
wieloryb	z			z	wieloryb\w*		# 35
wiezienie				.	wi[ęe]zie[nń]		# 1302
wirus	o			o	wirus		# 318
wkurzac				.	wkurz		# 1996
wojna	a			a	woj[e]?n		# 9550
wojownik	a			a	woj[oó]w		# 251
wol	z			z	\bw[oó]ł(|u|y|em|owi|owe|owa|ami)\b		# 39
wpadka				.	wpadk		# 1042
wredny				.	wredn\w+		# 1283
wrogi	a			a	wr[óo]g		# 2535
wrzeczec	a			a	wrzeszcz		# 138
wrzod	o			o	wrz[ód]d		# 5
wscibski				i	w[śs]cib		# 9
wsciekly	a			a	w[śs]ciek		# 482
wsciekly	a			a	w[śs]ciek\w+		# 481
wstret	o			o	wstr[ęe]t		# 146
wstret	o			o	wstr[ęe]t\w*		# 146
wstyd				.	wstyd\w*		# 3176
wszy	z			z	wsz(on|aw|y\b)\w+		# 25
wtargnac	a			a	\bwtarg		# 31
wybuch	a			a	wybuch		# 811
wyc				.	\b(za|roz|)wy([ćc]|je\w*|[łl](|y|i|i[śs]\w+))\b		# TODO wychowanie wychodzic wycofac wyciag wycieczka
wyciek				.	\bwyciek		# 177
wykroczenie				.	wykrocz[^n]		# 47
wyludzic	a			a	wy[łl]udz		# 1705
wymiotowac	o			o	wymio[ct][^lł]		# 337
wynaturzenie				.	wynaturz		# 1
wynocha				.	\bwyno(ch|ś\b|[śs]cie)		# 18
wypadek				c	wypad[e]?k		# 2556
wypalony				i	wypal(on|e[ńn])		# 18
wypraszac				.	wypr(asz|osz|osi)		# 57
wyrok				.	wyrok		# 1166
wyrwac	a			a	\bwyr[y]?w		# 1240
wyrzutek				i	wyrzut[e]?k		# 6
wysmiewac				.	(wy|prze)[śs]miew		# 641
zabic	s			s	zabi[cćtj]		# 3917
zabojstwo	s			s	zab[óo]j\w		# 423
zabor	h			h	zab[óo]r		# 67
zachlanny				i	zach[łl]ann		# 59
zadluzony				i	zad[łl]u[żz]		# 140
zadufany				i	zaduf		# 22
zagazowac	h			h	zagazo		# 11
zaglada	s			s	zagład		# 93 zagladalem
zagrozenie				.	\bzagro[żz]		# 2330
zajumac	a			a	juma[ćclł]		# 27
zakaz				.	zakaz		# 2797
zakladnik				.	zak[łl]adni		# 146
zalamac				.	za[łl]am[ak]		# 527
zalamac				.	za[łl]am\w+		# 752
zaloba	s			s	\b[żz]a[łl]ob		# 95
zalosc				.	\b[żz]a[łl]o[sś]\w+		# 2101
zalosny				.	[żz]a[łl]o[sś][cćn]\w*		# 2219
zamach	a			a	zamach\w*		# 1995 zamachowski
zaminowac	a			a	\b(pod|za)minow[au]		# 0
zamroczony				i	(za|po)mro(cz|k)		# 27
zamulac				i	z[a]?mul		# 488
zaognic	a			a	zaogni		# 5
zaorac	a			a	\b(za|prze|wy|roz|)ora[ćcłln]		# 1093
zapomniec				.	zapomni[ae]		# 3087
zaraza	o			o	zaraz[ayo]		# 168
zarazic	o			o	zara([źz][nl]|[żz][oa]|zi|zk)		# 180
zastoj				.	zast[óo]j		# 1
zatarg	a			a	\bzatarg		# 496
zatrzymac				.	zatrzym		# 5597
zawiesc				.	zaw(iod|ied|odz|ie[śs][ćc])		# 1385
zazdrosc				.	zazdro[sś][ncćz]		# 3270
zblazowany				.	zblazo		# 4
zboczenie	x			x	\bzbo(cz|ko)		# 173
zboj	a			a	zb[óo]j\w*		# 130 zbojkotowac
zbrodnia	s			s	zbrodn		# 2220
zdrada				.	zdra[dj]		# 3773
zdychac	s			s	(?<!w)zdych		# 272
zdzira	x			x	zdzir		# 11
zebrac				.	żebra		# 152 TODO żebra(MED)
zenujacy				.	(za|\b)[żz]en(o|żenu|ad|ow|ua)		#
zenujacy				.	za[żz]eno|żenu		# 1502
zepsuty	o			o	(\b|ze|po)psu[ćcłlt]		# 1992
zepsuty	o			o	(\b|ze|po|na)psu[jćcłlt]		# 2817
zgielk				.	zgie[łl]k		# 24
zgon	s			s	(\b|ze)zgon		# 118
zgraja				.	\bzgraj[iao]		# 10
zgroza				.	zgroz		# 77
zgryzota				.	zgry(zo[tc]|[źz]l)		# 3 TODO zgryzota zgryzliwy rozgryzac
zl*				.	\b[źz][lł][eyoiaąu]\b		# TODO 9488 zly zle zlo zlymi zla
zlamac	a			a	\b(|po|od|z|roz)łama		# 1891
zlamas				a	z[łl]amas\w+		# 21
zlodziej				i	złodziej\w*		# 1920
zlom				.	z[łl]om		# 162
zlosc	a			a	\bz[łl]o[śs]		# 693
zmarly	s			s	zmar[łl]		# 628
zmija	z			z	\b[żz]mij		# 143
zmusic	a			a	zmus[zi]		# 1066
znecac	a			a	\bzn[ęe]c\w		# 191
znieslawic				.	nies[łl]aw		# 280 nieslawny
zoltek			d3	i	[żz][óo]lt[e]?k\w*		# 1 FP
zombie				.	zombi		# 543
zomo	h			h	\bzomo		# 398
zoofil	x			x	zoofil		# 8
zostawic				.	\b(po|)zostaw		# 3898
zuchwaly				i	zuchwa		# 71
zul			d?	i	żul\w*		# 167
zwalic	a			a	zwa[lł]\w*		# 4167 TODO rozwalic zwalic rozwalka walic
zwiac				.	\b(z|na)wi[ae][ćcłl]		# 63
zwloki	s			s	zw[łl]ok(?![lłęe])		# 128
zwyrodnialy				i	zwyro[ld]		# 599
zydo				h	\b[żz]yd(k|o[^wm])		# 1047
niekoszerny				h	niekoszer		# 23
pierdziec	o		w1	o	pierd(\b|[^oae.*])		# 1788
pierdolic	a		w3	a	pierd([oae]l|[.*]+)		# 17151
masoneria				h	maso[nń]		# 181
iluminaci				h	il[l]?umina		# 37
denat	s			s	\bdenat(?!u)		# 3
grzech				.	grze(ch|sz)		# 701
ekskrementy	o			o	ekskremen		# 1
ekstremalny				.	ekstrema		# 95
wagina	x			x	wagin		# 17
analny	x			x	\banal(\b|n)		# 63
pornografia	x			x	porno		# 1312
kuska	x			x	\bku[śs][ck](?!us)\w		# 6
biegunka	o			o	biegunk		# 14
